Created Timestamp,Preferred Marketplace,Country Of Residence,Device Family,ASIN,Operation,Asset Key,Asset Type
2025-06-24T00:02:36Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-05-24T03:44:21Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,CLAXYW2N4FTQ76CN6JTRJPY5TJ6LGVCD,Personal Document
2025-06-16T02:54:38Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Personal Document
2025-04-21T02:49:53Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-05-06T03:39:04Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-06-24T04:40:38Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-05-06T03:17:19Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,B0DY9TZD8Z,E-Book
2025-07-20T02:50:46Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,7KRWAI2AYO7QURIYLICYT2S4DTQWFXK7,Personal Document
2025-07-21T04:37:46Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-06-09T04:31:07Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-07-14T01:21:58Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-04-27T03:28:11Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,WS7ZNQVX7GBLFJDICPFXB44TVFXYJ3XO,Personal Document
2025-05-06T03:30:09Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,B09SKWT6SF,E-Book sample
2025-04-21T22:24:56Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,B0D3CBLLPH,E-Book sample
2025-05-11T03:42:24Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-05-15T00:15:11Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,RESEYEAJK4EJ4ULJAU6NJ6YSAGXJJQBV,Personal Document
2025-04-21T02:50:00Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,II6J4O2WEM4UWTX47RYFLMDPIEDR6GET,Personal Document
2025-06-24T04:41:14Z,www.amazon.com,US,Kindle E-reader,77X5BC7DFTLU4LZPF46IWOWFXBG44XNJ,Delete,Not Available,
2025-06-12T23:37:52Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,WE7SRD2LY7QFPPIYNFYUIFGDVUBNHMLP,Personal Document
2025-06-16T02:54:32Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-05-02T04:06:14Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-05-06T03:17:09Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-04-21T02:34:55Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-07-11T05:43:26Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-07-11T05:46:40Z,www.amazon.com,US,Kindle E-reader,VE4SJJEMPCNJIYM5H66WC62DAPYE4BQI,Delete,SL7WU7EAKIJMP6UUMD2XUOQFJIPQTNPT,Personal Document
2025-07-06T20:09:39Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-06-24T04:41:14Z,www.amazon.com,US,Kindle E-reader,77X5BC7DFTLU4LZPF46IWOWFXBG44XNJ,Delete,B0D9F3KFPM,E-Book
2025-07-26T04:12:30Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,CD2J6YLYY6SMOGLTHM77PUX5YBUTBUKC,Personal Document
2025-04-21T02:34:53Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-07-17T21:17:15Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-05-22T00:16:35Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,FTT7VNOWFIXZCCUGO3PVUC2EFP5UBTOU,Personal Document
2025-05-11T09:43:29Z,www.amazon.com,US,Kindle E-reader,RESEYEAJK4EJ4ULJAU6NJ6YSAGXJJQBV,Delete,B0CWFMT5SC,E-Book
2025-04-21T02:35:03Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,U2Z3ZVHOGQDZ2SJB23WAYVQTZA37NXVN,Personal Document
2025-06-14T02:41:52Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,B00BUP18U0,E-Book
2025-07-26T04:29:43Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-05-30T01:20:03Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,QYRAXQVBLI3LB5QJ4JUGQRWU5LOQXERK,Personal Document
2025-06-11T03:11:16Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,Personal Document
2025-06-12T23:37:42Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-07-06T20:09:41Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-05-27T22:27:14Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-05-24T03:44:13Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-04-21T22:24:29Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-05-08T03:22:36Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,WF76OBCUMHIJ33X2SQRIIWKQ4MIBU6FK,Personal Document
2025-07-26T04:29:51Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,433NYT3NYBLOUOHLMNP7KZE4BASGKFI2,Personal Document
2025-06-09T04:31:05Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-07-14T01:21:57Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-07-14T01:26:40Z,www.amazon.com,US,Kindle E-reader,CD2J6YLYY6SMOGLTHM77PUX5YBUTBUKC,Delete,VE4SJJEMPCNJIYM5H66WC62DAPYE4BQI,Personal Document
2025-06-19T03:15:33Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-07-27T02:15:12Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-06-23T00:58:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,B0DHDF2RDL,E-Book
2025-05-24T03:44:11Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-07-21T04:37:47Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-07-01T02:39:04Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,Personal Document
2025-05-06T03:10:06Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-07-01T02:39:04Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,B006VUQWRS,Magazine
2025-05-06T03:17:21Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-05-22T00:16:26Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-06-19T03:15:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-05-27T22:27:18Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,Personal Document
2025-07-18T03:21:55Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,MZJHLPOQEFK6QOXINYVHNIKWVK53C26Z,Personal Document
2025-07-11T05:43:28Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-07-21T04:37:56Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,RBEXH5ATPIXTSXDRPADA6TMFIDDTOR4L,Personal Document
2025-07-21T19:56:19Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,KGYWKIBH5PNSEB3YPUA5KDHPGPGI5X4V,Personal Document
2025-05-15T00:14:59Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-07-26T04:12:21Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-07-27T18:30:28Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-07-01T02:37:47Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-05-06T03:23:46Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,C6ATPLQ37HSITPZJ3VQPW6KVAJUUMK7Y,Personal Document
2025-07-06T20:09:50Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,DLPKNHHPHNJ4DUAQY2GFGV5CUSFQXXJU,Personal Document
2025-07-27T18:30:42Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,77X5BC7DFTLU4LZPF46IWOWFXBG44XNJ,Personal Document
2025-07-17T21:17:14Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-05-30T01:19:50Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-05-06T03:29:57Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-05-22T00:16:28Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-07-21T19:56:10Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-07-27T02:15:23Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,LLUQMOFNTTDE4U47XIA344P55IEPDQDW,Personal Document
2025-04-20T04:46:14Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-05-06T03:10:14Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,LTCRXOXA6TOUTCKMTU3ZCVIOM5BKGXOC,Personal Document
2025-06-19T03:15:42Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,ZPDUB3GM3WAX336MUVRJXWWZQKSYRZ4H,Personal Document
2025-04-27T03:28:29Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-05-15T00:15:01Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-05-02T04:06:12Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-07-21T19:57:31Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,B0DJM99D77,E-Book
2025-07-20T02:50:37Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-05-06T03:23:37Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-05-06T03:17:19Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,B0DLLGPNMQ,E-Book sample
2025-06-24T00:02:56Z,www.amazon.com,US,Kindle E-reader,B0D9F3KFPM,Delete,B0DJ7XG2MQ,E-Book sample
2025-07-01T02:37:46Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-05-02T04:06:27Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,MDA2MPOTKOJLTLOVINZIHHXFP4Q3WPNH,Personal Document
2025-07-27T02:15:14Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-07-21T19:57:31Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-06-11T03:10:09Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-06-14T02:41:52Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,B07QBNKJTZ,E-Book
2025-07-27T18:30:29Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-07-01T02:39:04Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,B006VPEDQK,Magazine
2025-07-21T19:56:11Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-04-20T04:46:13Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-04-20T04:46:26Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,2QNZAYQAE5R4PFN6F24WIOEU6LELQLZZ,Personal Document
2025-06-14T02:41:52Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,B07LGLF1JG,E-Book
2025-07-26T04:12:19Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-06-11T03:12:27Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,B0CJ839C56,E-Book
2025-05-06T03:10:05Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-06-09T04:31:15Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,JNMIUTPQKYQ7HRUKCLKJX5RHPE3OAK4B,Personal Document
2025-07-21T19:57:26Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-06-23T00:51:28Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
2025-04-21T02:49:52Z,www.amazon.com,US,Kindle E-reader,Not Available,Delete,Not Available,
